@RELATION "circle.arff"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE class NUMERIC

@DATA
0.639427,0.025011,-1.00000
0.275029,0.223211,-1.00000
0.736471,0.676699,1.00000
0.892180,0.086939,-1.00000
0.421922,0.029797,-1.00000
0.218638,0.505355,1.00000
0.026536,0.198838,-1.00000
0.649884,0.544941,1.00000
0.220441,0.589266,1.00000
0.809430,0.006499,-1.00000
0.805819,0.698139,-1.00000
0.340251,0.155479,-1.00000
0.957213,0.336595,-1.00000
0.092746,0.096716,-1.00000
0.847494,0.603726,-1.00000
0.807128,0.729732,-1.00000
0.536228,0.973116,-1.00000
0.378534,0.552041,1.00000
0.829405,0.618520,-1.00000
0.861707,0.577352,-1.00000
0.704572,0.045824,-1.00000
0.227898,0.289388,-1.00000
0.079792,0.232791,-1.00000
0.101001,0.277974,-1.00000
0.635684,0.364832,1.00000
0.370181,0.209507,-1.00000
0.266978,0.936655,-1.00000
0.648035,0.609131,1.00000
0.171139,0.729127,-1.00000
0.163402,0.379455,-1.00000
0.989523,0.640000,-1.00000
0.556950,0.684614,1.00000
0.842852,0.776000,-1.00000
0.229048,0.032100,-1.00000
0.315453,0.267741,1.00000
0.210983,0.942910,-1.00000
0.876368,0.314678,-1.00000
0.655439,0.395632,1.00000
0.914548,0.458852,-1.00000
0.264880,0.246628,-1.00000
0.561368,0.262742,1.00000
0.584586,0.897823,-1.00000
0.399401,0.219321,1.00000
0.997538,0.509526,-1.00000
0.090909,0.047116,-1.00000
0.109649,0.627446,-1.00000
0.792079,0.422160,-1.00000
0.063528,0.381619,-1.00000
0.996121,0.529114,-1.00000
0.971078,0.860780,-1.00000
0.011481,0.720722,-1.00000
0.681710,0.536970,1.00000
0.266825,0.640962,1.00000
0.111552,0.434765,-1.00000
0.453724,0.953816,-1.00000
0.875853,0.263389,-1.00000
0.500586,0.178652,-1.00000
0.912628,0.870519,-1.00000
0.298445,0.638949,1.00000
0.608970,0.152839,-1.00000
0.762511,0.539379,1.00000
0.778626,0.530354,1.00000
0.000572,0.324156,-1.00000
0.019477,0.929099,-1.00000
0.878722,0.831666,-1.00000
0.307514,0.057925,-1.00000
0.878010,0.946949,-1.00000
0.085653,0.485990,-1.00000
0.069213,0.760602,-1.00000
0.765834,0.128391,-1.00000
